index	label	cortex
1	HIP-head-m1-rh	False
2	HIP-head-m2-rh	False
3	THA-VAip-rh	False
4	THA-VAia-rh	False
5	HIP-head-l-rh	False
6	HIP-body-rh	False
7	HIP-tail-rh	False
8	THA-VPm-rh	False
9	THA-VPl-rh	False
10	THA-VAs-rh	False
11	THA-DAm-rh	False
12	THA-DAl-rh	False
13	PUT-VA-rh	False
14	PUT-DA-rh	False
15	PUT-VP-rh	False
16	PUT-DP-rh	False
17	CAU-VA-rh	False
18	CAU-DA-rh	False
19	CAU-body-rh	False
20	CAU-tail-rh	False
21	lAMY-rh	False
22	mAMY-rh	False
23	THA-DP-rh	False
24	NAc-shell-rh	False
25	NAc-core-rh	False
26	pGP-rh	False
27	aGP-rh	False
28	HIP-head-m1-lh	False
29	HIP-head-m2-lh	False
30	THA-VAip-lh	False
31	THA-VAia-lh	False
32	HIP-head-l-lh	False
33	HIP-body-lh	False
34	HIP-tail-lh	False
35	THA-VPm-lh	False
36	THA-VPl-lh	False
37	THA-VAs-lh	False
38	THA-DAm-lh	False
39	THA-DAl-lh	False
40	PUT-VA-lh	False
41	PUT-DA-lh	False
42	PUT-VP-lh	False
43	PUT-DP-lh	False
44	CAU-VA-lh	False
45	CAU-DA-lh	False
46	CAU-body-lh	False
47	CAU-tail-lh	False
48	lAMY-lh	False
49	mAMY-lh	False
50	THA-DP-lh	False
51	NAc-shell-lh	False
52	NAc-core-lh	False
53	pGP-lh	False
54	aGP-lh	False
