index	label	cortex	subcortex	cerebellum
1	7Networks_LH_Vis_1	True	False	False
2	7Networks_LH_Vis_2	True	False	False
3	7Networks_LH_Vis_3	True	False	False
4	7Networks_LH_Vis_4	True	False	False
5	7Networks_LH_Vis_5	True	False	False
6	7Networks_LH_Vis_6	True	False	False
7	7Networks_LH_Vis_7	True	False	False
8	7Networks_LH_Vis_8	True	False	False
9	7Networks_LH_Vis_9	True	False	False
10	7Networks_LH_SomMot_1	True	False	False
11	7Networks_LH_SomMot_2	True	False	False
12	7Networks_LH_SomMot_3	True	False	False
13	7Networks_LH_SomMot_4	True	False	False
14	7Networks_LH_SomMot_5	True	False	False
15	7Networks_LH_SomMot_6	True	False	False
16	7Networks_LH_DorsAttn_Post_1	True	False	False
17	7Networks_LH_DorsAttn_Post_2	True	False	False
18	7Networks_LH_DorsAttn_Post_3	True	False	False
19	7Networks_LH_DorsAttn_Post_4	True	False	False
20	7Networks_LH_DorsAttn_Post_5	True	False	False
21	7Networks_LH_DorsAttn_Post_6	True	False	False
22	7Networks_LH_DorsAttn_PrCv_1	True	False	False
23	7Networks_LH_DorsAttn_FEF_1	True	False	False
24	7Networks_LH_SalVentAttn_ParOper_1	True	False	False
25	7Networks_LH_SalVentAttn_FrOperIns_1	True	False	False
26	7Networks_LH_SalVentAttn_FrOperIns_2	True	False	False
27	7Networks_LH_SalVentAttn_PFCl_1	True	False	False
28	7Networks_LH_SalVentAttn_Med_1	True	False	False
29	7Networks_LH_SalVentAttn_Med_2	True	False	False
30	7Networks_LH_SalVentAttn_Med_3	True	False	False
31	7Networks_LH_Limbic_OFC_1	True	False	False
32	7Networks_LH_Limbic_TempPole_1	True	False	False
33	7Networks_LH_Limbic_TempPole_2	True	False	False
34	7Networks_LH_Cont_Par_1	True	False	False
35	7Networks_LH_Cont_PFCl_1	True	False	False
36	7Networks_LH_Cont_pCun_1	True	False	False
37	7Networks_LH_Cont_Cing_1	True	False	False
38	7Networks_LH_Default_Temp_1	True	False	False
39	7Networks_LH_Default_Temp_2	True	False	False
40	7Networks_LH_Default_Par_1	True	False	False
41	7Networks_LH_Default_Par_2	True	False	False
42	7Networks_LH_Default_PFC_1	True	False	False
43	7Networks_LH_Default_PFC_2	True	False	False
44	7Networks_LH_Default_PFC_3	True	False	False
45	7Networks_LH_Default_PFC_4	True	False	False
46	7Networks_LH_Default_PFC_5	True	False	False
47	7Networks_LH_Default_PFC_6	True	False	False
48	7Networks_LH_Default_PFC_7	True	False	False
49	7Networks_LH_Default_pCunPCC_1	True	False	False
50	7Networks_LH_Default_pCunPCC_2	True	False	False
51	7Networks_RH_Vis_1	True	False	False
52	7Networks_RH_Vis_2	True	False	False
53	7Networks_RH_Vis_3	True	False	False
54	7Networks_RH_Vis_4	True	False	False
55	7Networks_RH_Vis_5	True	False	False
56	7Networks_RH_Vis_6	True	False	False
57	7Networks_RH_Vis_7	True	False	False
58	7Networks_RH_Vis_8	True	False	False
59	7Networks_RH_SomMot_1	True	False	False
60	7Networks_RH_SomMot_2	True	False	False
61	7Networks_RH_SomMot_3	True	False	False
62	7Networks_RH_SomMot_4	True	False	False
63	7Networks_RH_SomMot_5	True	False	False
64	7Networks_RH_SomMot_6	True	False	False
65	7Networks_RH_SomMot_7	True	False	False
66	7Networks_RH_SomMot_8	True	False	False
67	7Networks_RH_DorsAttn_Post_1	True	False	False
68	7Networks_RH_DorsAttn_Post_2	True	False	False
69	7Networks_RH_DorsAttn_Post_3	True	False	False
70	7Networks_RH_DorsAttn_Post_4	True	False	False
71	7Networks_RH_DorsAttn_Post_5	True	False	False
72	7Networks_RH_DorsAttn_PrCv_1	True	False	False
73	7Networks_RH_DorsAttn_FEF_1	True	False	False
74	7Networks_RH_SalVentAttn_TempOccPar_1	True	False	False
75	7Networks_RH_SalVentAttn_TempOccPar_2	True	False	False
76	7Networks_RH_SalVentAttn_FrOperIns_1	True	False	False
77	7Networks_RH_SalVentAttn_Med_1	True	False	False
78	7Networks_RH_SalVentAttn_Med_2	True	False	False
79	7Networks_RH_Limbic_OFC_1	True	False	False
80	7Networks_RH_Limbic_TempPole_1	True	False	False
81	7Networks_RH_Cont_Par_1	True	False	False
82	7Networks_RH_Cont_Par_2	True	False	False
83	7Networks_RH_Cont_PFCl_1	True	False	False
84	7Networks_RH_Cont_PFCl_2	True	False	False
85	7Networks_RH_Cont_PFCl_3	True	False	False
86	7Networks_RH_Cont_PFCl_4	True	False	False
87	7Networks_RH_Cont_Cing_1	True	False	False
88	7Networks_RH_Cont_PFCmp_1	True	False	False
89	7Networks_RH_Cont_pCun_1	True	False	False
90	7Networks_RH_Default_Par_1	True	False	False
91	7Networks_RH_Default_Temp_1	True	False	False
92	7Networks_RH_Default_Temp_2	True	False	False
93	7Networks_RH_Default_Temp_3	True	False	False
94	7Networks_RH_Default_PFCv_1	True	False	False
95	7Networks_RH_Default_PFCv_2	True	False	False
96	7Networks_RH_Default_PFCdPFCm_1	True	False	False
97	7Networks_RH_Default_PFCdPFCm_2	True	False	False
98	7Networks_RH_Default_PFCdPFCm_3	True	False	False
99	7Networks_RH_Default_pCunPCC_1	True	False	False
100	7Networks_RH_Default_pCunPCC_2	True	False	False
101	HIP-head-m1-rh	False	True	False
102	HIP-head-m2-rh	False	True	False
103	THA-VAip-rh	False	True	False
104	THA-VAia-rh	False	True	False
105	HIP-head-l-rh	False	True	False
106	HIP-body-rh	False	True	False
107	HIP-tail-rh	False	True	False
108	THA-VPm-rh	False	True	False
109	THA-VPl-rh	False	True	False
110	THA-VAs-rh	False	True	False
111	THA-DAm-rh	False	True	False
