ROI Label,ROI Name,R,A,S
1,R_V1_ROI,11,-80,3
2,R_MST_ROI,43,-65,4
3,R_V6_ROI,17,-75,31
4,R_V2_ROI,13,-79,-1
5,R_V3_ROI,20,-82,3
6,R_V4_ROI,32,-83,-3
7,R_V8_ROI,31,-69,-16
8,R_4_ROI,31,-17,51
9,R_3b_ROI,37,-21,51
10,R_FEF_ROI,44,-2,50
11,R_PEF_ROI,43,3,35
12,R_55b_ROI,48,3,44
13,R_V3A_ROI,16,-87,29
14,R_RSC_ROI,6,-40,17
15,R_POS2_ROI,11,-69,34
16,R_V7_ROI,29,-81,29
17,R_IPS1_ROI,27,-70,39
18,R_FFC_ROI,42,-56,-20
19,R_V3B_ROI,29,-76,20
20,R_LO1_ROI,39,-82,8
21,R_LO2_ROI,45,-80,-5
22,R_PIT_ROI,43,-77,-15
23,R_MT_ROI,51,-70,5
24,R_A1_ROI,46,-22,11
25,R_PSL_ROI,62,-39,21
26,R_SFL_ROI,9,15,64
27,R_PCV_ROI,6,-50,46
28,R_STV_ROI,56,-44,13
29,R_7Pm_ROI,5,-65,48
30,R_7m_ROI,5,-58,33
31,R_POS1_ROI,11,-58,14
32,R_23d_ROI,3,-22,38
33,R_v23ab_ROI,4,-53,19
34,R_d23ab_ROI,3,-39,32
35,R_31pv_ROI,9,-43,33
36,R_5m_ROI,6,-37,59
37,R_5mv_ROI,13,-37,49
38,R_23c_ROI,10,-29,41
39,R_5L_ROI,14,-44,71
40,R_24dd_ROI,6,-16,49
41,R_24dv_ROI,10,-4,45
42,R_7AL_ROI,23,-53,61
43,R_SCEF_ROI,5,3,57
44,R_6ma_ROI,20,4,64
45,R_7Am_ROI,8,-58,60
46,R_7PL_ROI,13,-72,53
47,R_7PC_ROI,37,-46,60
48,R_LIPv_ROI,30,-50,51
49,R_VIP_ROI,21,-61,62
50,R_MIP_ROI,24,-64,44
51,R_1_ROI,49,-22,52
52,R_2_ROI,40,-30,47
53,R_3a_ROI,24,-25,53
54,R_6d_ROI,36,-10,61
55,R_6mp_ROI,15,-12,65
56,R_6v_ROI,58,6,30
57,R_p24pr_ROI,4,-2,42
